12.4926 	EXP 	window1: blendMode = 'avg'
12.5093 	EXP 	window1: blendMode = 'avg'
12.5259 	EXP 	window1: blendMode = 'avg'
12.5426 	EXP 	window1: blendMode = 'avg'
12.5592 	EXP 	window1: blendMode = 'avg'
12.5759 	EXP 	window1: blendMode = 'avg'
12.5926 	EXP 	window1: blendMode = 'avg'
12.6093 	EXP 	window1: blendMode = 'avg'
12.6259 	EXP 	window1: blendMode = 'avg'
12.6426 	EXP 	window1: blendMode = 'avg'
12.6593 	EXP 	window1: blendMode = 'avg'
12.6760 	EXP 	window1: blendMode = 'avg'
12.6926 	EXP 	window1: blendMode = 'avg'
12.7093 	EXP 	window1: blendMode = 'avg'
12.7260 	EXP 	window1: blendMode = 'avg'
12.7427 	EXP 	window1: blendMode = 'avg'
12.7591 	EXP 	window1: blendMode = 'avg'
12.7760 	EXP 	window1: blendMode = 'avg'
12.7927 	EXP 	window1: blendMode = 'avg'
12.8093 	EXP 	window1: blendMode = 'avg'
12.8260 	EXP 	window1: blendMode = 'avg'
12.8427 	EXP 	window1: blendMode = 'avg'
12.8593 	EXP 	window1: blendMode = 'avg'
12.8760 	EXP 	window1: blendMode = 'avg'
12.8927 	EXP 	window1: blendMode = 'avg'
12.9094 	EXP 	window1: blendMode = 'avg'
12.9260 	EXP 	window1: blendMode = 'avg'
12.9427 	EXP 	window1: blendMode = 'avg'
12.9594 	EXP 	window1: blendMode = 'avg'
12.9761 	EXP 	window1: blendMode = 'avg'
12.9927 	EXP 	window1: blendMode = 'avg'
13.0094 	EXP 	window1: blendMode = 'avg'
13.0260 	EXP 	window1: blendMode = 'avg'
13.0427 	EXP 	window1: blendMode = 'avg'
13.0593 	EXP 	window1: blendMode = 'avg'
13.0761 	EXP 	window1: blendMode = 'avg'
13.0927 	EXP 	window1: blendMode = 'avg'
13.1094 	EXP 	window1: blendMode = 'avg'
13.1261 	EXP 	window1: blendMode = 'avg'
13.1428 	EXP 	window1: blendMode = 'avg'
13.1595 	EXP 	window1: blendMode = 'avg'
13.1761 	EXP 	window1: blendMode = 'avg'
13.1928 	EXP 	window1: blendMode = 'avg'
13.2095 	EXP 	window1: blendMode = 'avg'
13.2261 	EXP 	window1: blendMode = 'avg'
13.2428 	EXP 	window1: blendMode = 'avg'
13.2595 	EXP 	window1: blendMode = 'avg'
13.2761 	EXP 	window1: blendMode = 'avg'
13.2928 	EXP 	window1: blendMode = 'avg'
13.3095 	EXP 	window1: blendMode = 'avg'
13.3261 	EXP 	window1: blendMode = 'avg'
13.3428 	EXP 	window1: blendMode = 'avg'
13.3595 	EXP 	window1: blendMode = 'avg'
13.3762 	EXP 	window1: blendMode = 'avg'
13.3928 	EXP 	window1: blendMode = 'avg'
