subjID,delay_later,amount_later,delay_sooner,amount_sooner,choice,rt,AQ_score,RSQ_score,IRI_score,RSE_score,MSPSS_score,Day
R_46737,3,35,0,30,1,1.274,15,50,80,18,6.333333333,1
R_46737,59,35,0,32,1,1.989,15,50,80,18,6.333333333,1
R_46737,42,35,0,30,1,1.502,15,50,80,18,6.333333333,1
R_46737,158,30,0,15,1,1.541,15,50,80,18,6.333333333,1
R_46737,129,35,0,31,1,1.856,15,50,80,18,6.333333333,1
R_46737,27,35,0,13,1,1.457,15,50,80,18,6.333333333,1
R_46737,9,25,0,17,1,0.973,15,50,80,18,6.333333333,1
R_11212,5,25,0,11,1,1.791,12,79,74,27,4.5,1
R_11212,11,30,0,11,1,2.605,12,79,74,27,4.5,1
R_11212,38,30,0,12,1,5.208,12,79,74,27,4.5,1
R_11212,76,35,0,12,1,4.143,12,79,74,27,4.5,1
R_11212,113,25,0,16,0,2.031,12,79,74,27,4.5,1
R_11212,70,25,0,16,1,1.843,12,79,74,27,4.5,1
R_11212,67,30,0,18,1,4.865,12,79,74,27,4.5,1
R_11212,20,25,0,19,1,2.165,12,79,74,27,4.5,1
R_11212,171,30,0,21,0,3.955,12,79,74,27,4.5,1
R_11212,4,35,0,25,1,2.184,12,79,74,27,4.5,1
R_11212,3,35,0,30,1,1.467,12,79,74,27,4.5,1
R_11212,59,35,0,32,0,14.645,12,79,74,27,4.5,1
R_11212,42,35,0,30,1,5.483,12,79,74,27,4.5,1
R_11212,158,30,0,15,1,2.988,12,79,74,27,4.5,1
R_11212,129,35,0,31,0,2.016,12,79,74,27,4.5,1
R_11212,27,35,0,13,1,2.076,12,79,74,27,4.5,1
R_11212,9,25,0,17,1,1.927,12,79,74,27,4.5,1
R_40914,5,25,0,11,1,0.897,11,92,61,24,5.833333333,1
R_40914,11,30,0,11,1,0.977,11,92,61,24,5.833333333,1
R_40914,38,30,0,12,1,0.575,11,92,61,24,5.833333333,1
R_40914,76,35,0,12,1,1.359,11,92,61,24,5.833333333,1
R_40914,113,25,0,16,1,0.757,11,92,61,24,5.833333333,1
