7.5681 	EXP 	Created text_11 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=-2.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.2, italic=False, name='text_11', opacity=1.0, ori=0, pos=array([ 0.7,  0. ]), rgb=array([ 255.,  255.,  255.]), text=u'default text', units=u'norm', win=Window(...), wrapWidth=1)
7.5742 	EXP 	Created polygon_3 = Polygon(autoDraw=False, autoLog=True, closeShape=True, contrast=1.0, depth=-3.0, fillColor=array([ 1.,  1.,  1.]), fillColorSpace='rgb', fillRGB=array([ 1.,  1.,  1.]), interpolate=True, lineColor=array([ 1.,  1.,  1.]), lineColorSpace='rgb', lineRGB=array([ 1.,  1.,  1.]), lineWidth=1, name='polygon_3', opacity=1.0, ori=array(0.0), pos=array([-0.7,  0. ]), size=array([ 1.,  1.]), units=u'norm', vertices=ndarray(...), win=Window(...))
7.5794 	EXP 	Created polygon_6 = Polygon(autoDraw=False, autoLog=True, closeShape=True, contrast=1.0, depth=-4.0, fillColor=array([ 1.,  1.,  1.]), fillColorSpace='rgb', fillRGB=array([ 1.,  1.,  1.]), interpolate=True, lineColor=array([ 1.,  1.,  1.]), lineColorSpace='rgb', lineRGB=array([ 1.,  1.,  1.]), lineWidth=1, name='polygon_6', opacity=1.0, ori=array(0.0), pos=array([ 0.,  0.]), size=array([ 1.,  1.]), units=u'norm', vertices=ndarray(...), win=Window(...))
7.5818 	EXP 	Created fix = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.3, italic=False, name='fix', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'+', units=u'norm', win=Window(...), wrapWidth=1)
7.5949 	EXP 	Created text_14 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='text_14', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=unicode(...), units=u'norm', win=Window(...), wrapWidth=1.5)
7.5967 	EXP 	window1: blendMode = 'avg'
7.6040 	EXP 	InstrText: autoDraw = True
7.6054 	EXP 	window1: blendMode = 'avg'
7.6222 	EXP 	window1: blendMode = 'avg'
7.6418 	EXP 	window1: blendMode = 'avg'
7.6579 	EXP 	window1: blendMode = 'avg'
7.6743 	EXP 	window1: blendMode = 'avg'
7.6903 	EXP 	window1: blendMode = 'avg'
7.7081 	EXP 	window1: blendMode = 'avg'
7.7243 	EXP 	window1: blendMode = 'avg'
7.7406 	EXP 	window1: blendMode = 'avg'
7.7581 	EXP 	window1: blendMode = 'avg'
7.7742 	EXP 	window1: blendMode = 'avg'
7.7912 	EXP 	window1: blendMode = 'avg'
7.8074 	EXP 	window1: blendMode = 'avg'
7.8243 	EXP 	window1: blendMode = 'avg'
7.8407 	EXP 	window1: blendMode = 'avg'
7.8585 	EXP 	window1: blendMode = 'avg'
7.8744 	EXP 	window1: blendMode = 'avg'
7.8908 	EXP 	window1: blendMode = 'avg'
7.9076 	EXP 	window1: blendMode = 'avg'
7.9238 	EXP 	window1: blendMode = 'avg'
7.9407 	EXP 	window1: blendMode = 'avg'
7.9578 	EXP 	window1: blendMode = 'avg'
7.9745 	EXP 	window1: blendMode = 'avg'
7.9906 	EXP 	window1: blendMode = 'avg'
8.0077 	EXP 	window1: blendMode = 'avg'
8.0241 	EXP 	window1: blendMode = 'avg'
8.0403 	EXP 	window1: blendMode = 'avg'
8.0577 	EXP 	window1: blendMode = 'avg'
8.0740 	EXP 	window1: blendMode = 'avg'
8.0909 	EXP 	window1: blendMode = 'avg'
8.1069 	EXP 	window1: blendMode = 'avg'
8.1240 	EXP 	window1: blendMode = 'avg'
8.1414 	EXP 	window1: blendMode = 'avg'
8.1569 	EXP 	window1: blendMode = 'avg'
8.1745 	EXP 	window1: blendMode = 'avg'
8.1899 	EXP 	window1: blendMode = 'avg'
8.2082 	EXP 	window1: blendMode = 'avg'
8.2246 	EXP 	window1: blendMode = 'avg'
8.2402 	EXP 	window1: blendMode = 'avg'
8.2576 	EXP 	window1: blendMode = 'avg'
8.2743 	EXP 	window1: blendMode = 'avg'
8.2904 	EXP 	window1: blendMode = 'avg'
